path,label
Abuse/Abuse028_x264__5.npy,Abuse
Abuse/Abuse030_x264__5.npy,Abuse
Arrest/Arrest001_x264__5.npy,Arrest
Arrest/Arrest007_x264__5.npy,Arrest
Arrest/Arrest024_x264__5.npy,Arrest
Arrest/Arrest030_x264__5.npy,Arrest
Arrest/Arrest039_x264__5.npy,Arrest
Arson/Arson007_x264__5.npy,Arson
Arson/Arson009_x264__5.npy,Arson
Arson/Arson010_x264__5.npy,Arson
Arson/Arson011_x264__5.npy,Arson
Arson/Arson016_x264__5.npy,Arson
Arson/Arson018_x264__5.npy,Arson
Arson/Arson022_x264__5.npy,Arson
Arson/Arson035_x264__5.npy,Arson
Arson/Arson041_x264__5.npy,Arson
Assault/Assault006_x264__5.npy,Assault
Assault/Assault010_x264__5.npy,Assault
Assault/Assault011_x264__5.npy,Assault
Burglary/Burglary005_x264__5.npy,Burglary
Burglary/Burglary017_x264__5.npy,Burglary
Burglary/Burglary018_x264__5.npy,Burglary
Burglary/Burglary021_x264__5.npy,Burglary
Burglary/Burglary024_x264__5.npy,Burglary
Burglary/Burglary032_x264__5.npy,Burglary
Burglary/Burglary033_x264__5.npy,Burglary
Burglary/Burglary035_x264__5.npy,Burglary
Burglary/Burglary037_x264__5.npy,Burglary
Burglary/Burglary061_x264__5.npy,Burglary
Burglary/Burglary076_x264__5.npy,Burglary
Burglary/Burglary079_x264__5.npy,Burglary
Burglary/Burglary092_x264__5.npy,Burglary
Explosion/Explosion002_x264__5.npy,Explosion
Explosion/Explosion004_x264__5.npy,Explosion
Explosion/Explosion007_x264__5.npy,Explosion
Explosion/Explosion008_x264__5.npy,Explosion
Explosion/Explosion010_x264__5.npy,Explosion
Explosion/Explosion011_x264__5.npy,Explosion
Explosion/Explosion013_x264__5.npy,Explosion
Explosion/Explosion016_x264__5.npy,Explosion
Explosion/Explosion017_x264__5.npy,Explosion
Explosion/Explosion020_x264__5.npy,Explosion
Explosion/Explosion021_x264__5.npy,Explosion
Explosion/Explosion022_x264__5.npy,Explosion
Explosion/Explosion025_x264__5.npy,Explosion
Explosion/Explosion027_x264__5.npy,Explosion
Explosion/Explosion028_x264__5.npy,Explosion
Explosion/Explosion029_x264__5.npy,Explosion
Explosion/Explosion033_x264__5.npy,Explosion
Explosion/Explosion035_x264__5.npy,Explosion
Explosion/Explosion036_x264__5.npy,Explosion
Explosion/Explosion039_x264__5.npy,Explosion
Explosion/Explosion043_x264__5.npy,Explosion
Fighting/Fighting003_x264__5.npy,Fighting
Fighting/Fighting018_x264__5.npy,Fighting
Fighting/Fighting033_x264__5.npy,Fighting
Fighting/Fighting042_x264__5.npy,Fighting
Fighting/Fighting047_x264__5.npy,Fighting
RoadAccidents/RoadAccidents001_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents002_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents004_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents009_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents010_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents011_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents012_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents016_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents017_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents019_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents020_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents021_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents022_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents121_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents122_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents123_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents124_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents125_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents127_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents128_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents131_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents132_x264__5.npy,RoadAccidents
RoadAccidents/RoadAccidents133_x264__5.npy,RoadAccidents
Robbery/Robbery048_x264__5.npy,Robbery
Robbery/Robbery050_x264__5.npy,Robbery
Robbery/Robbery102_x264__5.npy,Robbery
Robbery/Robbery106_x264__5.npy,Robbery
Robbery/Robbery137_x264__5.npy,Robbery
Shooting/Shooting002_x264__5.npy,Shooting
Shooting/Shooting004_x264__5.npy,Shooting
Shooting/Shooting007_x264__5.npy,Shooting
Shooting/Shooting008_x264__5.npy,Shooting
Shooting/Shooting010_x264__5.npy,Shooting
Shooting/Shooting011_x264__5.npy,Shooting
Shooting/Shooting013_x264__5.npy,Shooting
Shooting/Shooting015_x264__5.npy,Shooting
Shooting/Shooting018_x264__5.npy,Shooting
Shooting/Shooting019_x264__5.npy,Shooting
Shooting/Shooting021_x264__5.npy,Shooting
Shooting/Shooting022_x264__5.npy,Shooting
Shooting/Shooting024_x264__5.npy,Shooting
Shooting/Shooting026_x264__5.npy,Shooting
Shooting/Shooting028_x264__5.npy,Shooting
Shooting/Shooting032_x264__5.npy,Shooting
Shooting/Shooting033_x264__5.npy,Shooting
Shooting/Shooting034_x264__5.npy,Shooting
Shooting/Shooting037_x264__5.npy,Shooting
Shooting/Shooting043_x264__5.npy,Shooting
Shooting/Shooting046_x264__5.npy,Shooting
Shooting/Shooting047_x264__5.npy,Shooting
Shooting/Shooting048_x264__5.npy,Shooting
Shoplifting/Shoplifting001_x264__5.npy,Shoplifting
Shoplifting/Shoplifting004_x264__5.npy,Shoplifting
Shoplifting/Shoplifting005_x264__5.npy,Shoplifting
Shoplifting/Shoplifting007_x264__5.npy,Shoplifting
Shoplifting/Shoplifting010_x264__5.npy,Shoplifting
Shoplifting/Shoplifting015_x264__5.npy,Shoplifting
Shoplifting/Shoplifting016_x264__5.npy,Shoplifting
Shoplifting/Shoplifting017_x264__5.npy,Shoplifting
Shoplifting/Shoplifting020_x264__5.npy,Shoplifting
Shoplifting/Shoplifting021_x264__5.npy,Shoplifting
Shoplifting/Shoplifting022_x264__5.npy,Shoplifting
